bankRefId,amount,type,narration,date,fee
BNK_REF_159,543.20,CREDIT,WIRE TRF APEX DYNAMIC BATCH CLEARING,2026-09-08,16.80
BNK_REF_103,583.28,CREDIT,SETTLEMENT ORD_20103 REF GW_TXN_103,2026-08-15,0.00
BNK_REF_141,1167.67,CREDIT,STRIPE TRANSFER ORD_20141,2026-08-26,0.00
BNK_REF_140,53.73,CREDIT,STRIPE TRANSFER ORD_20140,2026-08-27,0.00
BNK_REF_104,373.09,CREDIT,SETTLEMENT ORD_20104 REF GW_TXN_104,2026-08-15,0.00
BNK_REF_147,164.31,CREDIT,ACH PAYOUT hannah NET OF FEES,2026-08-29,4.21
BNK_REF_101,552.53,CREDIT,SETTLEMENT ORD_20101 REF GW_TXN_101,2026-08-15,0.00
BNK_REF_155,407.40,CREDIT,WIRE TRF ACME GLOBAL  BATCH CLEARING,2026-09-08,12.60
BNK_REF_144,738.79,CREDIT,STRIPE TRANSFER ORD_20144,2026-08-27,0.00
BNK_REF_148,734.00,CREDIT,ACH PAYOUT ian.malcolm NET OF FEES,2026-08-30,18.82
BNK_REF_136,1166.74,CREDIT,STRIPE TRANSFER ORD_20136,2026-08-25,0.00
BNK_REF_138,933.89,CREDIT,STRIPE TRANSFER ORD_20138,2026-08-25,0.00
BNK_REF_102,227.04,CREDIT,SETTLEMENT ORD_20102 REF GW_TXN_102,2026-08-15,0.00
BNK_REF_122,159.81,CREDIT,SETTLEMENT ORD_20122 REF GW_TXN_122,2026-08-20,0.00
BNK_REF_105,216.95,CREDIT,SETTLEMENT ORD_20105 REF GW_TXN_105,2026-08-16,0.00
BNK_REF_115,501.32,CREDIT,SETTLEMENT ORD_20115 REF GW_TXN_115,2026-08-18,0.00
BNK_REF_116,570.54,CREDIT,SETTLEMENT ORD_20116 REF GW_TXN_116,2026-08-18,0.00
BNK_REF_108,692.78,CREDIT,SETTLEMENT ORD_20108 REF GW_TXN_108,2026-08-16,0.00
BNK_REF_153,849.70,CREDIT,ACH PAYOUT ian.malcolm NET OF FEES,2026-09-04,21.79
BNK_REF_134,735.87,CREDIT,STRIPE TRANSFER ORD_20134,2026-08-25,0.00
BNK_REF_129,639.62,CREDIT,SETTLEMENT ORD_20129 REF GW_TXN_129,2026-08-22,0.00
BNK_REF_124,720.35,CREDIT,SETTLEMENT ORD_20124 REF GW_TXN_124,2026-08-20,0.00
BNK_REF_142,1051.10,CREDIT,STRIPE TRANSFER ORD_20142,2026-08-27,0.00
BNK_REF_143,225.77,CREDIT,STRIPE TRANSFER ORD_20143,2026-08-27,0.00
BNK_REF_126,199.06,CREDIT,SETTLEMENT ORD_20126 REF GW_TXN_126,2026-08-21,0.00
BNK_REF_120,797.74,CREDIT,SETTLEMENT ORD_20120 REF GW_TXN_120,2026-08-19,0.00
BNK_REF_146,325.37,CREDIT,STRIPE TRANSFER ORD_20146,2026-08-28,0.00
BNK_REF_113,467.39,CREDIT,SETTLEMENT ORD_20113 REF GW_TXN_113,2026-08-18,0.00
